date,irl
2002-07-03,[[0.15720549]]
2002-07-05,[[0.15527576]]
2002-07-08,[[0.14939979]]
2002-07-09,[[0.14731863]]
2002-07-10,[[0.14816874]]
2002-07-11,[[0.14836481]]
2002-07-12,[[0.3306766]]
2002-07-15,[[0.13690603]]
2002-07-16,[[0.13478917]]
2002-07-17,[[0.13781598]]
2002-07-18,[[0.13327804]]
2002-07-19,[[0.1259096]]
2002-07-22,[[0.12520432]]
2002-07-23,[[0.11554316]]
2002-07-24,[[0.10740536]]
2002-07-25,[[0.09822088]]
2002-07-26,[[0.08438817]]
2002-07-29,[[0.07674494]]
2002-07-30,[[0.07550696]]
2002-07-31,[[0.07511076]]
2002-08-01,[[0.07783383]]
2002-08-02,[[0.08633479]]
2002-08-05,[[0.08669412]]
2002-08-06,[[0.08520573]]
2002-08-07,[[0.07895991]]
2002-08-08,[[0.07959756]]
2002-08-09,[[0.08427033]]
2002-08-12,[[0.08452129]]
2002-08-13,[[0.08566785]]
2002-08-14,[[0.08773151]]
2002-08-15,[[0.24987549]]
2002-08-16,[[0.2675432]]
2002-08-19,[[0.20974502]]
2002-08-20,[[0.11252916]]
2002-08-21,[[0.12023118]]
2002-08-22,[[0.33640754]]
2002-08-23,[[0.13770428]]
2002-08-26,[[0.3696222]]
2002-08-27,[[0.15910286]]
2002-08-28,[[0.6001182]]
2002-08-29,[[0.15376711]]
2002-08-30,[[0.34464902]]
2002-09-03,[[0.1510633]]
2002-09-04,[[0.15226734]]
2002-09-05,[[0.3450187]]
2002-09-06,[[0.15673503]]
2002-09-09,[[0.1609965]]
2002-09-10,[[0.15639207]]
2002-09-11,[[0.15644601]]
2002-09-12,[[0.617362]]
2002-09-13,[[0.15658486]]
2002-09-16,[[0.15730962]]
2002-09-17,[[0.35829002]]
2002-09-18,[[0.15676045]]
2002-09-19,[[0.15756181]]
2002-09-20,[[0.15581498]]
2002-09-23,[[0.1498856]]
2002-09-24,[[0.14934236]]
2002-09-25,[[0.1527704]]
2002-09-26,[[0.14717522]]
2002-09-27,[[0.14376661]]
2002-09-30,[[0.1445486]]
2002-10-01,[[0.14425156]]
2002-10-02,[[0.1388228]]
2002-10-03,[[0.3049791]]
2002-10-04,[[0.46655414]]
2002-10-07,[[0.31865805]]
2002-10-08,[[0.32291734]]
2002-10-09,[[0.26048484]]
2002-10-10,[[0.32769272]]
2002-10-11,[[0.47973427]]
2002-10-14,[[0.4888314]]
2002-10-15,[[0.50211674]]
2002-10-16,[[0.71272016]]
2002-10-17,[[0.70374745]]
2002-10-18,[[0.61149824]]
2002-10-21,[[0.6157541]]
2002-10-22,[[0.646444]]
2002-10-23,[[0.8626166]]
2002-10-24,[[0.6612952]]
2002-10-25,[[0.85143006]]
2002-10-28,[[0.6677774]]
2002-10-29,[[0.3420766]]
2002-10-30,[[0.3645012]]
2002-10-31,[[0.44602478]]
2002-11-01,[[0.4473398]]
2002-11-04,[[0.67290455]]
2002-11-05,[[0.68304294]]
2002-11-06,[[0.6743274]]
2002-11-07,[[0.5774779]]
2002-11-08,[[0.43051997]]
2002-11-11,[[0.5110306]]
2002-11-12,[[0.64940023]]
2002-11-13,[[0.40152887]]
2002-11-14,[[0.3939004]]
2002-11-15,[[0.33711445]]
2002-11-18,[[0.5264636]]
2002-11-19,[[0.37473744]]
2002-11-20,[[0.51344854]]
2002-11-21,[[0.32034385]]
2002-11-22,[[0.203854]]
2002-11-25,[[0.31131518]]
2002-11-26,[[0.31660497]]
2002-11-27,[[0.14875701]]
2002-11-29,[[0.15377504]]
2002-12-02,[[0.15943587]]
2002-12-03,[[0.14195013]]
2002-12-04,[[0.13947108]]
2002-12-05,[[0.1461722]]
2002-12-06,[[0.1439209]]
2002-12-09,[[0.14636669]]
2002-12-10,[[0.14685062]]
2002-12-11,[[0.15062517]]
2002-12-12,[[0.1519014]]
2002-12-13,[[0.13942331]]
2002-12-16,[[0.14916319]]
2002-12-17,[[0.14246821]]
2002-12-18,[[0.14331147]]
2002-12-19,[[0.13669309]]
2002-12-20,[[0.14364743]]
2002-12-23,[[0.14647469]]
2002-12-24,[[0.15072194]]
2002-12-26,[[0.16165349]]
2002-12-27,[[0.15349078]]
2002-12-30,[[0.15704075]]
2002-12-31,[[0.15432101]]
2003-01-02,[[0.15798363]]
2003-01-03,[[0.16017815]]
2003-01-06,[[0.16400513]]
2003-01-07,[[0.17617345]]
2003-01-08,[[0.37048185]]
2003-01-09,[[0.38823432]]
2003-01-10,[[0.16929168]]
2003-01-13,[[0.1694512]]
2003-01-14,[[0.16776687]]
2003-01-15,[[0.17111078]]
2003-01-16,[[0.6126279]]
2003-01-17,[[0.1662158]]
2003-01-21,[[0.15979472]]
2003-01-22,[[0.46452934]]
2003-01-23,[[0.35961187]]
2003-01-24,[[0.36143577]]
2003-01-27,[[0.16193426]]
2003-01-28,[[0.56519204]]
2003-01-29,[[0.35958016]]
2003-01-30,[[0.16370064]]
2003-01-31,[[0.35166904]]
2003-02-03,[[0.39444765]]
2003-02-04,[[0.31849658]]
2003-02-05,[[0.35194558]]
2003-02-06,[[0.36024398]]
2003-02-07,[[0.3396771]]
2003-02-10,[[0.3669192]]
2003-02-11,[[0.16187438]]
